DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,STATISTICAL_OPERATION,EDUCATION_LEV,AGE,SEX,URBANISATION,INSTITUTION_TYPE,STUDENTS_CHARACTERISTICS,TEACHER_PROFILE,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MULT,ATTRIBUTE_TALIS
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ZAF,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,36.00069443,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ROU,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,35.41331901,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MAR,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,30.42569931,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),HRV,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,40.5241512,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),FRA,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,37.22539548,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),OECD,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,38.46319209,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MLT,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,37.73058637,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SRB,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,36.36275554,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AUT,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,37.63344611,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SGP,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,46.78274835,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BEFR,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,31.92699586,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BGR,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,37.96643911,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),NLD,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,34.52410968,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CA48,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,46.34242878,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),TUR,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,29.69190881,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ESP,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,38.72851921,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CYP,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,31.61780401,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MNE,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,35.7251795,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SWE,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,42.33990821,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),NOR,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,37.98719967,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SVN,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,39.67081597,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),AUS,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,43.96671181,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),POL,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,35.91120169,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),XKV,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,29.02494225,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ARE,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,40.37600514,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),JPN,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,53.00846577,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),USA,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,44.12671323,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CHL,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,38.29057905,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),SAU,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,29.70891162,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),LVA,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,36.83199144,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),EST,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,37.78924346,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),KOR,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,43.09914981,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ISR,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,29.97675409,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),CZE,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,38.81543967,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BRA,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,32.32264148,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),BEL,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,35.31548272,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),MKD,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,32.67495448,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),ITA,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,31.01927198,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),HUN,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,40.1488926,2,A,0,Q14_1
OECD.EDU.ECS:DSD_TALIS@DF_TALIS(1.0),UZB,_Z,Q14_1,H,MEAN,ISCED11_2,_T,_T,_T,_T,_T,_T,2024,32.49956904,2,A,0,Q14_1
