REF_AREA,TIME_PERIOD,total_work_hours,teaching_hours,Q77_B_1,Q77_B_2,Q77_B_3,Q77_B_4,admin_stress_high_pct,Q78_C_1,Q78_C_2,Q78_C_3,Q78_C_4,school_recommend_positive_pct,area_name,non_teaching_hours
NZL,2024,45.43729115,20.83369279,10.81376387,33.36935054,32.82455659,22.99232899,55.816885580000005,1.683036638,13.39829459,52.86928514,32.04938363,84.91866877000001,New Zealand,24.60359836
MKD,2024,32.67495448,23.24185879,12.97614042,34.01395516,27.61604045,25.39386397,53.00990442,3.446522939,10.08130913,55.02763281,31.44453511,86.47216792,North Macedonia,9.433095689999998
NOR,2024,37.98719967,15.91911762,13.57844754,33.79866167,29.84209775,22.78079304,52.62289079,2.372299387,8.428207542,49.27983215,39.91966092,89.19949306999999,Norway,22.06808205
POL,2024,35.91120169,20.87139787,14.33962065,41.84720062,26.16571785,17.64746089,43.81317874,3.222038515,14.51069806,57.74421691,24.52304651,82.26726342,Poland,15.03980382
PRT,2024,39.70139458,19.4483618,1.848613919,18.88270767,38.89067934,40.37799907,79.26867841,1.984996296,8.511475672,56.72100562,32.78252242,89.50352803999999,Portugal,20.253032779999998
ROU,2024,35.41331901,18.16987814,25.16149756,37.88098108,21.18661512,15.77090624,36.95752136,2.189282534,9.012074548,49.11090337,39.68773955,88.79864292,Romania,17.24344087
SAU,2024,29.70891162,21.71904189,25.01046223,24.36240301,30.81148796,19.8156468,50.627134760000004,3.617149317,8.795646891,48.34593558,39.24126821,87.58720379,Saudi Arabia,7.989869729999999
SRB,2024,36.36275554,18.57401142,9.540806659,26.2909417,28.23484245,35.93340919,64.16825164,3.440705958,11.70611929,55.47162288,29.38155187,84.85317475,Serbia,17.78874412
CN09,2024,46.32266327,20.0165997,31.74827281,39.02416365,18.64317723,10.5843863,29.227563529999998,3.284343984,21.10037564,56.66032902,18.95495135,75.61528037,Shanghai,26.30606357
SGP,2024,46.78274835,17.56677225,11.92232117,35.25771323,33.32649968,19.49346592,52.819965599999996,3.911524755,20.77052449,60.96048539,14.35746536,75.31795075000001,Singapore,29.2159761
SVK,2024,35.80897473,20.51948122,12.09564399,34.86688714,31.67324663,21.36422225,53.037468880000006,2.567124015,14.60852183,59.33831568,23.48603847,82.82435415,Slovak Republic,15.289493510000003
